NO,DATE,OFFICE,MURDER,HOMICIDE,PHYSICAL INJURY,RAPE,ROBBERY,THEFT,CARNAPPING MV,CARNAPPING MC
1,1/01/2018,PRO3,42,10,137,84,108,148,6,78
2,2/01/2018,PRO3,41,3,117,88,93,155,3,39
3,3/01/2018,PRO3,48,9,139,79,101,177,2,51
4,4/01/2018,PRO3,44,4,140,69,103,139,6,44
5,5/01/2018,PRO3,32,13,134,105,78,160,5,51
6,6/01/2018,PRO3,42,8,106,77,100,163,7,46
7,7/01/2018,PRO3,31,9,109,91,96,153,10,58
8,8/01/2018,PRO3,42,14,115,86,91,165,9,46
9,9/01/2018,PRO3,28,9,127,70,79,139,2,50
10,10/01/2018,PRO3,39,12,142,80,76,169,9,45
11,11/01/2018,PRO3,36,14,140,72,84,156,3,33
12,12/01/2018,PRO3,35,18,140,56,76,134,3,37
13,1/01/2019,PRO3,25,13,91,65,70,110,1,34
14,2/01/2019,PRO3,26,7,98,47,61,117,2,53
15,3/01/2019,PRO3,50,24,102,62,59,135,3,44
16,4/01/2019,PRO3,33,4,103,48,58,105,0,20
17,5/01/2019,PRO3,32,8,89,52,67,98,4,32
18,6/01/2019,PRO3,63,12,110,66,89,109,2,21
19,7/01/2019,PRO3,29,16,91,72,78,118,1,42
20,8/01/2019,PRO3,34,9,78,59,94,125,7,65
21,9/01/2019,PRO3,25,3,86,94,105,137,3,35
22,10/01/2019,PRO3,41,11,95,77,83,115,2,23
23,11/01/2019,PRO3,60,7,124,63,76,138,9,54
24,12/01/2019,PRO3,55,9,87,50,80,142,3,28
25,1/01/2020,PRO3,45,6,45,45,63,99,5,33
26,2/01/2020,PRO3,29,4,52,79,43,105,7,28
27,3/01/2020,PRO3,17,6,55,87,37,84,6,23
28,4/01/2020,PRO3,18,4,57,85,30,75,7,16
29,5/01/2020,PRO3,22,5,54,90,35,86,6,24
30,6/01/2020,PRO3,19,9,49,86,32,82,4,19
31,7/01/2020,PRO3,32,11,30,54,47,79,2,33
32,8/01/2020,PRO3,33,4,26,53,52,64,2,23
33,9/01/2020,PRO3,25,5,24,67,55,89,5,25
34,10/01/2020,PRO3,24,7,21,45,45,107,7,27
35,11/01/2020,PRO3,26,7,35,60,40,98,4,19
36,12/01/2020,PRO3,34,9,43,74,48,108,2,26
37,1/01/2021,PRO3,27,7,24,58,38,68,2,23
38,2/01/2021,PRO3,31,3,29,45,45,85,2,28
39,3/01/2021,PRO3,27,3,24,44,47,108,4,36
40,4/01/2021,PRO3,31,6,26,50,36,84,2,16
41,5/01/2021,PRO3,31,4,29,76,48,87,1,28
42,6/01/2021,PRO3,25,6,32,85,52,103,3,26
43,7/01/2021,PRO3,26,7,36,78,58,112,4,20
44,8/01/2021,PRO3,24,8,32,72,64,120,4,24
45,9/01/2021,PRO3,25,6,33,68,67,115,5,22
46,10/01/2021,PRO3,26,7,37,75,65,110,3,25
47,11/01/2021,PRO3,24,6,32,74,58,107,2,19
48,12/01/2021,PRO3,18,7,36,71,56,109,3,15
49,1/01/2022,PRO3,24,6,26,52,50,99,1,22
50,2/01/2022,PRO3,20,4,26,41,56,96,4,12
51,3/01/2022,PRO3,20,3,24,55,42,103,1,13
52,4/01/2022,PRO3,19,5,22,47,48,97,3,14
53,5/01/2022,PRO3,20,3,21,68,35,88,1,12
54,6/01/2022,PRO3,14,6,24,63,39,111,5,20
